capacity duration
3~mbps 274.45
3~mbps 3544.63
3~mbps 4524.51
3~mbps 2034.07
3~mbps 5525.94
3~mbps 315.43
3~mbps 5230.24
3~mbps 445.19
3~mbps 1192.29
3~mbps 1069.71
3~mbps 586.34
3~mbps 2957.59
3~mbps 712.16
3~mbps 3341.55
3~mbps 529.53
3~mbps 1037.29
3~mbps 1020.54
3~mbps 1584.37
3~mbps 571.08
3~mbps 3882.46
3~mbps 5657.78
3~mbps 1530.1
3~mbps 7993.15
3~mbps 3333
3~mbps 466.19
3~mbps 320.95
3~mbps 1349.25
3~mbps 1698.49
3~mbps 595.54
3~mbps 2251.15
3~mbps 363.45
3~mbps 548.35
3~mbps 426.41
3~mbps 3079.96
3~mbps 1851.26
3~mbps 4049.07
3~mbps 8362.65
3~mbps 527.12
3~mbps 885.84
3~mbps 814.6
3~mbps 2541.8
3~mbps 2066.87
3~mbps 2068.22
3~mbps 1886.1
3~mbps 231.72
3~mbps 2817.53
3~mbps 993.36
3~mbps 438.76
3~mbps 3618.1
3~mbps 657.47
3~mbps 812.99
3~mbps 339.08
3~mbps 919.99
3~mbps 1501.53
3~mbps 1371.82
3~mbps 341.72
3~mbps 4080.57
3~mbps 1764.7
3~mbps 1231.32
3~mbps 7375.79
3~mbps 2312.19
3~mbps 415.88
3~mbps 1804.15
3~mbps 907.45
3~mbps 472.44
3~mbps 1382.74
3~mbps 1437.56
3~mbps 7824.86
3~mbps 540.35
3~mbps 2493.1
3~mbps 2190
3~mbps 340.23
3~mbps 798.09
3~mbps 1124.11
3~mbps 3023.21
3~mbps 1870.64
3~mbps 7134.55
3~mbps 840.86
3~mbps 2493.42
3~mbps 847.95
3~mbps 413.2
3~mbps 988.56
3~mbps 477.4
3~mbps 760.66
3~mbps 777.29
3~mbps 1566.27
3~mbps 444.41
3~mbps 909.53
3~mbps 903.17
3~mbps 979.03
3~mbps 215.12
3~mbps 666.61
3~mbps 3230.39
3~mbps 409.08
3~mbps 1037.65
3~mbps 1472.28
3~mbps 139.99
3~mbps 395.86
3~mbps 8178.61
3~mbps 9904.69
3~mbps 1547.56
3~mbps 1086.63
3~mbps 277.61
3~mbps 6094.96
3~mbps 466.65
3~mbps 699.56
3~mbps 503.04
3~mbps 353.18
3~mbps 2329.66
3~mbps 1309.89
3~mbps 5112.39
3~mbps 471.54
3~mbps 1406.03
3~mbps 2505.36
3~mbps 522.28
3~mbps 6279.71
3~mbps 3394.71
3~mbps 1714.79
3~mbps 1614.13
3~mbps 691.2
3~mbps 359.58
3~mbps 316.34
3~mbps 944.07
3~mbps 1957.68
3~mbps 280.42
3~mbps 606.03
3~mbps 974.31
3~mbps 1239.02
3~mbps 9379.42
3~mbps 1468.91
3~mbps 4699.08
3~mbps 5472.4
3~mbps 377.06
3~mbps 2282.58
3~mbps 171.44
3~mbps 144.37
3~mbps 1768.31
3~mbps 278.39
3~mbps 2937.47
3~mbps 2007.31
3~mbps 2072.36
3~mbps 3691.39
3~mbps 937.09
3~mbps 469.98
3~mbps 7970.78
3~mbps 1788.38
3~mbps 5025.82
3~mbps 2107.61
3~mbps 5814.63
3~mbps 3796.81
3~mbps 4071.4
3~mbps 1111.11
3~mbps 690.16
3~mbps 728.25
3~mbps 4779.35
3~mbps 642.04
3~mbps 2487.77
3~mbps 430.94
3~mbps 1611.81
3~mbps 1471.36
3~mbps 444.76
3~mbps 961.99
3~mbps 474.07
3~mbps 1830.24
3~mbps 154.58
3~mbps 240.5
3~mbps 1373.27
3~mbps 2116.41
3~mbps 2461.22
3~mbps 728.75
3~mbps 654.05
3~mbps 1268.15
3~mbps 350.69
3~mbps 2867.65
3~mbps 1657.4
3~mbps 1700.88
3~mbps 400.06
3~mbps 2490.04
3~mbps 2514.38
3~mbps 4214.12
3~mbps 1480.54
3~mbps 5936.86
3~mbps 1072.94
3~mbps 415.54
3~mbps 345.03
3~mbps 6491.6
3~mbps 824.09
3~mbps 982.76
3~mbps 1875.29
3~mbps 968.13
3~mbps 1462.07
3~mbps 804.47
3~mbps 1491.35
3~mbps 4088.77
3~mbps 8115.79
3~mbps 6407.35
3~mbps 2265.72
3~mbps 1193.71
3~mbps 542.63
3~mbps 2655.27
3~mbps 1141.73
3~mbps 487.98
3~mbps 989.43
3~mbps 944.38
3~mbps 1157.72
3~mbps 2642.1
3~mbps 179.26
3~mbps 5083.61
3~mbps 389.64
3~mbps 4751.84
3~mbps 5291.81
3~mbps 2343.24
3~mbps 1346.73
3~mbps 4897.39
3~mbps 6539.81
3~mbps 602.52
3~mbps 1989.89
3~mbps 3446.47
3~mbps 2647.19
3~mbps 847.5
3~mbps 3878.45
3~mbps 4954
3~mbps 806.25
3~mbps 1361.14
3~mbps 3615.59
3~mbps 3326.86
3~mbps 778.79
3~mbps 1374.92
3~mbps 3962.5
3~mbps 9763.4
3~mbps 516.36
3~mbps 1880.22
3~mbps 2836.34
3~mbps 1587.09
3~mbps 2506.3
3~mbps 3560.84
3~mbps 5082.37
3~mbps 4745.83
3~mbps 3387.97
3~mbps 5406.61
3~mbps 1158
3~mbps 2212.21
3~mbps 1967.91
3~mbps 3013.91
3~mbps 883.81
3~mbps 7333.29
3~mbps 453.38
3~mbps 3165.91
3~mbps 1276.78
3~mbps 6640.35
3~mbps 2323.38
3~mbps 3428.61
3~mbps 332.01
3~mbps 584.45
3~mbps 1455.83
3~mbps 445.63
3~mbps 796.51
3~mbps 1282.03
3~mbps 5176.5
3~mbps 4166.77
3~mbps 2331.82
3~mbps 486.73
3~mbps 934.25
3~mbps 2389.47
3~mbps 789.77
3~mbps 4333.32
3~mbps 1560.24
3~mbps 598.26
3~mbps 1690.8
3~mbps 1130.24
3~mbps 7172.84
3~mbps 267.7
3~mbps 436.58
3~mbps 1557.14
3~mbps 529
3~mbps 1555.14
3~mbps 6054.04
3~mbps 1637.76
3~mbps 3610.82
3~mbps 5257.77
3~mbps 4408.51
3~mbps 4101.68
3~mbps 3196.43
3~mbps 4542.48
3~mbps 933.04
3~mbps 360.35
3~mbps 2254.94
3~mbps 2277.65
3~mbps 5715.82
3~mbps 1767.54
3~mbps 370.85
3~mbps 1634.82
3~mbps 1615.87
3~mbps 806.36
3~mbps 1447.07
3~mbps 514.76
3~mbps 4125.74
3~mbps 2720.34
3~mbps 2431.88
3~mbps 958.81
3~mbps 2713.33
3~mbps 3855.05
3~mbps 1581.59
3~mbps 331.53
3~mbps 874.2
3~mbps 1918.49
3~mbps 1466.98
3~mbps 972.58
3~mbps 1141.23
3~mbps 489.16
3~mbps 6639.9
3~mbps 498.67
3~mbps 226.98
3~mbps 2123.22
3~mbps 550.37
3~mbps 611.12
3~mbps 614.53
3~mbps 2427.38
3~mbps 204.02
3~mbps 716.62
3~mbps 1719.01
3~mbps 740.9
3~mbps 10625.1
3~mbps 1819.71
3~mbps 1101.62
3~mbps 302.78
3~mbps 787.96
3~mbps 346.3
3~mbps 2461.1
3~mbps 773.91
3~mbps 5046.88
3~mbps 1086.51
3~mbps 720.93
3~mbps 5486.13
3~mbps 3621.15
3~mbps 1088.19
3~mbps 3303.44
3~mbps 2809.55
3~mbps 507.3
3~mbps 270.39
3~mbps 1212.71
3~mbps 990.73
3~mbps 9452.47
3~mbps 902.79
3~mbps 1336.87
3~mbps 2963.45
3~mbps 439.98
3~mbps 5070.56
3~mbps 4365.78
3~mbps 1314.61
3~mbps 379.89
3~mbps 883.63
3~mbps 1370.99
3~mbps 2476.91
3~mbps 260.22
3~mbps 839.75
3~mbps 549.29
3~mbps 394.97
3~mbps 254.41
3~mbps 942.38
3~mbps 240.75
3~mbps 3251.92
3~mbps 1343.2
3~mbps 3168.21
3~mbps 1249.09
3~mbps 3097.16
3~mbps 4228.16
3~mbps 5631.48
3~mbps 573.66
3~mbps 522.08
3~mbps 1151.07
3~mbps 3692.47
3~mbps 494.15
3~mbps 1955.96
3~mbps 450.39
3~mbps 2213.04
3~mbps 195.91
3~mbps 1758.51
3~mbps 416.69
3~mbps 216.42
3~mbps 1865.73
3~mbps 1885.25
3~mbps 699.36
3~mbps 1113.88
3~mbps 1289.03
3~mbps 2342.87
3~mbps 2627.76
3~mbps 3254.96
3~mbps 14364.5
3~mbps 815.59
3~mbps 1892.86
3~mbps 440.93
3~mbps 3295.35
3~mbps 5898.31
3~mbps 2580.3
3~mbps 3609.72
3~mbps 666.35
3~mbps 8083.1
3~mbps 378.17
3~mbps 6250.95
3~mbps 2770.67
3~mbps 452.92
3~mbps 2208.26
3~mbps 1645.39
3~mbps 289.84
3~mbps 2762
3~mbps 2864.45
3~mbps 1937.92
3~mbps 1068.21
3~mbps 6873.59
3~mbps 2330.04
3~mbps 465.26
3~mbps 623.94
3~mbps 1218.06
3~mbps 2956.3
3~mbps 307.96
3~mbps 2554.78
3~mbps 553.82
3~mbps 419.58
3~mbps 906.29
3~mbps 11770.1
3~mbps 3119.44
3~mbps 818.75
3~mbps 5981.85
3~mbps 18664.5
3~mbps 2434.85
3~mbps 5113.2
3~mbps 4490.12
3~mbps 3982.83
3~mbps 4323.81
3~mbps 6319.27
3~mbps 4876.55
3~mbps 23053.6
3~mbps 5813.92
3~mbps 13224.1
3~mbps 5267.19
3~mbps 8325.67
3~mbps 5377.48
3~mbps 10745
3~mbps 10172.6
3~mbps 7015.75
3~mbps 10507.3
3~mbps 5199.17
3~mbps 11148.2
3~mbps 9532.21
3~mbps 2561.13
3~mbps 5034.29
3~mbps 20458.2
3~mbps 6546.05
3~mbps 5162.85
3~mbps 14007.8
3~mbps 1259.98
3~mbps 9846.89
3~mbps 10175
3~mbps 7660.55
3~mbps 2482.73
3~mbps 26581.3
3~mbps 9855.44
3~mbps 11495.3
3~mbps 7579.27
3~mbps 8148.81
3~mbps 5619.3
3~mbps 12744.2
3~mbps 4066.2
3~mbps 2162.38
3~mbps 10566.1
3~mbps 5050.61
3~mbps 10967.3
3~mbps 6455.44
3~mbps 7793.4
3~mbps 27706
3~mbps 12988.9
3~mbps 8572.57
3~mbps 5871.71
3~mbps 5871.93
3~mbps 8418.69
3~mbps 1055.57
3~mbps 14196.8
3~mbps 5717.82
3~mbps 12800.1
3~mbps 2898.82
3~mbps 3420.39
3~mbps 7569.99
3~mbps 7442.6
3~mbps 16505.7
3~mbps 4718.02
3~mbps 6545.28
3~mbps 2314.88
3~mbps 9947.51
3~mbps 3543.32
3~mbps 12199.8
3~mbps 6384.73
3~mbps 10419.6
3~mbps 8329.16
3~mbps 12175.3
3~mbps 2934.69
3~mbps 19410.5
3~mbps 8330.34
3~mbps 19255.9
3~mbps 10739.2
3~mbps 5053.46
3~mbps 8175.08
3~mbps 5323.09
3~mbps 14476.4
3~mbps 6379.51
3~mbps 8390.65
3~mbps 19212.1
3~mbps 8243.49
3~mbps 4463
3~mbps 5581.75
3~mbps 6577.93
3~mbps 6331.28
3~mbps 12288.4
3~mbps 11246.4
3~mbps 3746.41
3~mbps 11162.7
3~mbps 39040.8
3~mbps 3307.67
3~mbps 2791.13
3~mbps 7752.75
3~mbps 5608.42
3~mbps 6343.38
3~mbps 5240.12
3~mbps 4603.01
3~mbps 5553.62
3~mbps 11371.6
3~mbps 6176.29
3~mbps 6138.83
3~mbps 2189.7
3~mbps 11440.7
3~mbps 2994.46
3~mbps 5281.38
3~mbps 2831.56
3~mbps 15279.5
3~mbps 6091.6
3~mbps 13007.4
3~mbps 7165.48
3~mbps 3161.88
3~mbps 7932.3
3~mbps 3160.29
3~mbps 2797.72
3~mbps 4867.23
3~mbps 5733.26
3~mbps 3742.51
3~mbps 2107.93
3~mbps 7032.41
3~mbps 11196.1
3~mbps 3916.22
3~mbps 10370.7
3~mbps 1445.99
3~mbps 11713.2
3~mbps 3422.76
3~mbps 1962.32
3~mbps 5166.69
3~mbps 5837.91
3~mbps 12800.3
3~mbps 6153.22
3~mbps 13218.2
3~mbps 1870.67
3~mbps 1921.34
3~mbps 18394.9
3~mbps 8604.31
3~mbps 3211.62
3~mbps 11169.8
3~mbps 5163.81
3~mbps 714.56
3~mbps 9066.92
3~mbps 2591.49
3~mbps 12236
3~mbps 4486.27
3~mbps 23834.3
3~mbps 10903.6
3~mbps 8392.14
3~mbps 3995.88
3~mbps 9607.02
3~mbps 4118.79
3~mbps 8869.72
3~mbps 2352.92
3~mbps 8022.66
3~mbps 6035.33
3~mbps 9834.82
3~mbps 10933
3~mbps 2514.23
3~mbps 4171.89
3~mbps 1854.76
3~mbps 3201.99
3~mbps 9407.11
3~mbps 3434.94
3~mbps 17813.8
3~mbps 1650.82
3~mbps 11628.4
3~mbps 3925.07
3~mbps 3880.15
3~mbps 8627.21
3~mbps 3878.52
3~mbps 6691.46
3~mbps 3174.8
3~mbps 11511.2
3~mbps 4309.98
3~mbps 15562
3~mbps 11447.5
3~mbps 13756.8
3~mbps 2758.78
3~mbps 1737
3~mbps 1619.79
3~mbps 5811.78
3~mbps 4977.13
3~mbps 11616
3~mbps 2172.03
3~mbps 3355.61
3~mbps 7697.76
3~mbps 11116.6
3~mbps 8059.58
3~mbps 21757.1
3~mbps 8331.94
3~mbps 6603.59
3~mbps 16876.5
3~mbps 5502.03
3~mbps 8311.1
3~mbps 3777.47
3~mbps 12662.9
3~mbps 3205.84
3~mbps 6165.72
3~mbps 10102.7
3~mbps 9302
3~mbps 21479.1
3~mbps 8454.72
3~mbps 6179.58
3~mbps 4534.7
3~mbps 10161.1
3~mbps 5443.31
3~mbps 6783.78
3~mbps 9301.6
3~mbps 743.4
3~mbps 6273.21
3~mbps 3890.24
3~mbps 5311.88
3~mbps 15938.5
3~mbps 15090.6
3~mbps 11829.5
3~mbps 7878.5
3~mbps 3672.47
3~mbps 7677.84
3~mbps 2773.9
3~mbps 8163.87
3~mbps 4575.23
3~mbps 3932.32
3~mbps 17931.6
3~mbps 6857.5
3~mbps 395.14
3~mbps 8996.89
3~mbps 10370.6
3~mbps 15961.5
3~mbps 5049.89
3~mbps 3867.02
3~mbps 5027.85
3~mbps 2075.53
3~mbps 5203.85
3~mbps 855.98
3~mbps 9844.47
3~mbps 7874.71
3~mbps 6353.8
3~mbps 4358.3
3~mbps 3442.28
3~mbps 362.02
3~mbps 7871.42
3~mbps 5907
3~mbps 5484.2
3~mbps 2777.04
3~mbps 7711.06
3~mbps 8175.62
3~mbps 6840.32
3~mbps 6547.84
3~mbps 3753.64
3~mbps 8789.54
3~mbps 1130.36
3~mbps 9097.15
3~mbps 4492.8
3~mbps 8464.57
3~mbps 10971.7
3~mbps 6812.96
3~mbps 1458.37
3~mbps 6062.13
3~mbps 5137.45
3~mbps 5640.8
3~mbps 5869.76
3~mbps 5080.52
3~mbps 7768.38
3~mbps 10816.9
3~mbps 4194.7
3~mbps 3658.23
3~mbps 6763.35
3~mbps 8535.36
3~mbps 9163.91
3~mbps 7521.93
3~mbps 2613.39
3~mbps 4789.37
3~mbps 400.42
3~mbps 10954.5
3~mbps 3566.4
3~mbps 6429.56
3~mbps 16520.9
3~mbps 11547.9
3~mbps 5643.21
3~mbps 2831.9
3~mbps 5287.83
3~mbps 12434.8
3~mbps 7268.14
3~mbps 5477.09
3~mbps 5393.13
3~mbps 5954.51
3~mbps 6698.99
3~mbps 6907.62
3~mbps 2932.67
3~mbps 1777.64
3~mbps 3009.88
3~mbps 1834.76
3~mbps 11708.8
3~mbps 10812.5
3~mbps 5134.13
3~mbps 4460.13
3~mbps 6355.82
3~mbps 4500.67
3~mbps 6804.86
3~mbps 3354.04
3~mbps 4665.76
3~mbps 11587.4
3~mbps 15363.9
3~mbps 9360.4
3~mbps 8735.34
3~mbps 865.09
3~mbps 8251.31
3~mbps 7520.84
3~mbps 2517.78
3~mbps 9269.42
3~mbps 2299.41
3~mbps 7804.82
3~mbps 10412.8
3~mbps 13291.5
3~mbps 4198.12
3~mbps 15037
3~mbps 3807.58
3~mbps 10057.2
3~mbps 6117.45
3~mbps 209.52
3~mbps 2916.6
3~mbps 1032.95
3~mbps 2541.39
3~mbps 1345.36
3~mbps 1364.1
3~mbps 1366.61
3~mbps 2377.56
3~mbps 514.31
3~mbps 845.55
3~mbps 3460.71
3~mbps 11385
3~mbps 3463.47
3~mbps 124.33
3~mbps 6682.75
3~mbps 9815.13
3~mbps 1913.95
3~mbps 3115
3~mbps 4791.7
3~mbps 3077.73
3~mbps 5200.85
3~mbps 4833.62
3~mbps 6621.19
3~mbps 731.24
3~mbps 3413.53
3~mbps 1311.92
3~mbps 2588.45
3~mbps 3034.47
3~mbps 5375.38
3~mbps 4362.53
3~mbps 3729.81
3~mbps 391.05
3~mbps 7139.3
3~mbps 161.95
3~mbps 1694.18
3~mbps 12063.3
3~mbps 21149.9
3~mbps 13356.4
3~mbps 4548.37
3~mbps 2696.28
3~mbps 8345.45
3~mbps 5618.65
3~mbps 12734.6
3~mbps 5267.16
3~mbps 867.54
3~mbps 4786.77
3~mbps 6739.39
3~mbps 17656.8
3~mbps 2243.78
3~mbps 6074.15
3~mbps 8087.81
3~mbps 13764.5
3~mbps 23909.8
3~mbps 27808.7
3~mbps 6820.96
3~mbps 1533.45
3~mbps 9685.85
3~mbps 1985.79
3~mbps 4369.47
3~mbps 788.45
3~mbps 2714.1
3~mbps 6432.51
3~mbps 9225.7
3~mbps 2977.99
3~mbps 2357.78
3~mbps 9825.85
3~mbps 2973.45
3~mbps 1838.12
3~mbps 946.33
3~mbps 6646.23
3~mbps 7680.44
3~mbps 4113.61
3~mbps 10509.4
3~mbps 2936.29
3~mbps 6623.4
3~mbps 4508.36
3~mbps 2601.49
3~mbps 1996.84
3~mbps 7040.73
3~mbps 196.79
3~mbps 4052.19
3~mbps 10279.8
3~mbps 5879.19
3~mbps 214.55
3~mbps 16819.2
3~mbps 8565.19
3~mbps 8948.72
3~mbps 935.39
3~mbps 3107.18
3~mbps 3140.69
3~mbps 14262.7
3~mbps 10396.8
3~mbps 4974.41
3~mbps 2139.61
3~mbps 10880.5
3~mbps 649.88
3~mbps 8906.56
3~mbps 6258.82
3~mbps 2501.27
3~mbps 2565.14
3~mbps 6391.06
3~mbps 2285.72
3~mbps 6745.33
3~mbps 7478.36
3~mbps 3516.02
3~mbps 8358
3~mbps 8795.71
3~mbps 7012.71
3~mbps 2200.64
3~mbps 6401.09
3~mbps 11885.7
3~mbps 13223.4
3~mbps 5437.22
3~mbps 4479.93
3~mbps 2517.62
3~mbps 4013.57
3~mbps 9819.06
3~mbps 383.81
3~mbps 8852.32
3~mbps 2828.5
3~mbps 2979.24
3~mbps 7472.65
3~mbps 17728.3
3~mbps 6789.71
3~mbps 16729.1
3~mbps 9149.22
3~mbps 7118.35
3~mbps 7433.92
3~mbps 6044.11
3~mbps 11630.1
3~mbps 549.68
3~mbps 18333.5
3~mbps 3134.97
3~mbps 9445.08
3~mbps 6334.5
3~mbps 8477.29
3~mbps 8735.17
3~mbps 6946.9
3~mbps 243.47
3~mbps 14956.5
3~mbps 6917.36
3~mbps 261.48
3~mbps 16283.2
3~mbps 2763.87
3~mbps 7791.43
3~mbps 2124.28
3~mbps 2983.55
3~mbps 9531.54
3~mbps 638.08
3~mbps 9855.83
3~mbps 1490.11
3~mbps 12986.3
3~mbps 9280.02
3~mbps 2157.17
3~mbps 13891
3~mbps 3575.8
3~mbps 13984.4
3~mbps 4876.61
3~mbps 230.93
3~mbps 705.04
3~mbps 6707.7
3~mbps 766.32
3~mbps 10264.8
3~mbps 15693
3~mbps 5110.15
3~mbps 15333.5
3~mbps 2375.44
3~mbps 2627.78
3~mbps 1349.68
3~mbps 10922.9
3~mbps 4070.69
3~mbps 1967.73
3~mbps 2760.12
3~mbps 5521.93
3~mbps 4371.23
3~mbps 5358.24
3~mbps 6403.85
3~mbps 10382.5
3~mbps 5753.45
3~mbps 10481.6
3~mbps 5040.71
3~mbps 8102.7
3~mbps 7939.07
3~mbps 22086.9
3~mbps 13789.7
3~mbps 6368.4
3~mbps 16199.5
3~mbps 279.09
3~mbps 12082.4
3~mbps 5297.34
3~mbps 10557.3
3~mbps 11507.9
3~mbps 26415.4
3~mbps 9015.77
3~mbps 28830.6
3~mbps 17953.3
3~mbps 20512.2
3~mbps 2928.03
3~mbps 9998
3~mbps 6035.56
3~mbps 4518.05
3~mbps 175.37
3~mbps 2633.69
3~mbps 294.85
3~mbps 899.08
3~mbps 2084.76
3~mbps 751.85
3~mbps 1523.3
3~mbps 10961.2
3~mbps 9788.66
3~mbps 4098.46
3~mbps 7315.48
3~mbps 7548.43
3~mbps 9181
3~mbps 4759.29
3~mbps 7989.45
3~mbps 7060.13
3~mbps 4695.52
3~mbps 2578.44
3~mbps 930.7
3~mbps 3276.56
3~mbps 3591.52
3~mbps 8929.94
3~mbps 7222.77
3~mbps 388.2
3~mbps 21306.5
3~mbps 891.33
3~mbps 5173.69
3~mbps 5130.98
3~mbps 1029.97
3~mbps 4778.57
3~mbps 7436.69
3~mbps 15090.6
3~mbps 2941.7
3~mbps 8603.17
3~mbps 16019.8
3~mbps 8408.48
3~mbps 5943.57
3~mbps 15201.4
3~mbps 7787.53
3~mbps 9101.06
3~mbps 3968.93
3~mbps 4955.78
3~mbps 9852.81
3~mbps 14736.5
3~mbps 13700.1
3~mbps 5561.07
3~mbps 6417.82
3~mbps 2265.08
3~mbps 16292.8
3~mbps 13375.7
3~mbps 11747.1
3~mbps 1950.84
3~mbps 8896.7
3~mbps 17499.9
3~mbps 4574.13
3~mbps 2874.33
3~mbps 741.16
3~mbps 1999.8
3~mbps 1905.53
3~mbps 1399.27
3~mbps 542.2
3~mbps 2170.3
3~mbps 270.35
3~mbps 943.28
3~mbps 573.41
3~mbps 2509.6
3~mbps 1934.03
3~mbps 2141.66
3~mbps 668.97
3~mbps 502.08
3~mbps 1614.87
3~mbps 1598.74
3~mbps 726.99
3~mbps 1144.58
3~mbps 1440.77
3~mbps 544.89
3~mbps 2358.1
3~mbps 1454.19
3~mbps 2548.82
3~mbps 1801.48
3~mbps 566.1
3~mbps 684.7
3~mbps 830.11
3~mbps 1457.7
3~mbps 1659.93
3~mbps 1403.65
3~mbps 1405.11
3~mbps 1152.4
3~mbps 4322.9
3~mbps 2734.47
3~mbps 818.28
3~mbps 2194.64
3~mbps 1152.96
3~mbps 1118.49
3~mbps 346.83
3~mbps 775.24
3~mbps 422.18
3~mbps 1579.35
3~mbps 1110.15
3~mbps 1502.28
3~mbps 1322.29
3~mbps 2132.8
3~mbps 2623.02
3~mbps 2233.97
3~mbps 9606.18
3~mbps 967.5
3~mbps 967.37
3~mbps 1147.9
3~mbps 2892.69
3~mbps 2022.31
3~mbps 788.78
3~mbps 423.5
3~mbps 4073.41
3~mbps 4472.15
3~mbps 733.78
3~mbps 1433.24
3~mbps 4094.65
3~mbps 363.67
3~mbps 1469.73
3~mbps 2138.1
3~mbps 3102.6
3~mbps 1477.3
3~mbps 7502.88
3~mbps 1521.94
3~mbps 3203.05
3~mbps 5145.93
3~mbps 2451.73
3~mbps 5185.24
3~mbps 9109.26
3~mbps 628.09
3~mbps 8095.89
3~mbps 4540.41
3~mbps 1897.21
3~mbps 5740.01
3~mbps 1532.57
3~mbps 2940.94
3~mbps 8056.86
3~mbps 3431.47
3~mbps 493.82
3~mbps 1215.11
3~mbps 2662.63
3~mbps 1840.49
3~mbps 2893.57
3~mbps 414.68
3~mbps 971.79
3~mbps 6931.36
3~mbps 2373.98
3~mbps 1021.76
3~mbps 7375.28
3~mbps 646.14
3~mbps 325.63
3~mbps 2657.05
3~mbps 1615.71
3~mbps 2631.21
3~mbps 1245.48
3~mbps 1737.54
3~mbps 1456.11
3~mbps 5069.76
3~mbps 1778.14
3~mbps 3263.51
3~mbps 648.7
3~mbps 3214.63
3~mbps 5199.17
3~mbps 2553.12
3~mbps 4434.94
3~mbps 1041.08
3~mbps 4920.36
3~mbps 2544.22
3~mbps 4784.02
3~mbps 739.14
3~mbps 3921.93
3~mbps 285.36
3~mbps 3781.24
3~mbps 462.59
3~mbps 273.67
3~mbps 5804.3
3~mbps 6975.71
3~mbps 667.69
3~mbps 2094.31
3~mbps 3348.82
3~mbps 614.56
3~mbps 7720.61
3~mbps 4088.87
3~mbps 6348.47
3~mbps 1608.92
3~mbps 1615.81
3~mbps 2793.1
3~mbps 4965.58
3~mbps 360.54
3~mbps 2584.2
3~mbps 5514.37
3~mbps 2764.28
3~mbps 697.69
3~mbps 1457.53
3~mbps 1942.2
3~mbps 6101.46
3~mbps 1078.38
3~mbps 10980.8
3~mbps 1467.19
3~mbps 9404.34
3~mbps 2993.22
3~mbps 900.05
3~mbps 404.57
3~mbps 910.56
3~mbps 314.25
3~mbps 2432.79
3~mbps 2034.5
3~mbps 2008.42
3~mbps 4697.37
3~mbps 5659.81
3~mbps 8675.58
3~mbps 4701.03
3~mbps 307.32
3~mbps 1171.89
3~mbps 614.52
3~mbps 754.54
3~mbps 2143.35
3~mbps 2237.71
3~mbps 9551.67
3~mbps 2570.57
3~mbps 2868.14
3~mbps 2060.61
3~mbps 5617.91
3~mbps 1524.61
3~mbps 4812.62
3~mbps 941.95
3~mbps 505.33
3~mbps 1026.41
3~mbps 447.89
3~mbps 2327.22
3~mbps 6432.58
3~mbps 2059.47
3~mbps 233.39
3~mbps 2483.33
3~mbps 2005.85
3~mbps 231.15
3~mbps 1259.55
3~mbps 1526.39
3~mbps 699.13
3~mbps 1837.07
3~mbps 678.84
3~mbps 5378.79
3~mbps 1909.47
3~mbps 7250.5
3~mbps 4563.97
3~mbps 411.24
3~mbps 1819.4
3~mbps 3853.29
3~mbps 2384.46
3~mbps 1600.99
3~mbps 3050.93
3~mbps 3726.31
3~mbps 8053.68
3~mbps 3627.94
3~mbps 1448.16
3~mbps 487.13
3~mbps 622.49
3~mbps 372.39
3~mbps 1706.68
3~mbps 350.43
3~mbps 1310.7
3~mbps 4435.14
3~mbps 795.72
3~mbps 3217.52
3~mbps 647.71
3~mbps 893.9
3~mbps 980.61
3~mbps 191.09
3~mbps 4160.41
3~mbps 1792.19
3~mbps 7999.72
3~mbps 283.98
3~mbps 2090.52
3~mbps 626.39
3~mbps 794.12
3~mbps 511.39
3~mbps 272.07
3~mbps 3183.84
3~mbps 941.47
3~mbps 996.21
3~mbps 231.63
3~mbps 707.44
3~mbps 1887.25
3~mbps 1021.48
3~mbps 317.49
3~mbps 360.54
3~mbps 1250.26
3~mbps 564.7
3~mbps 1201.68
3~mbps 9544.66
3~mbps 1160.58
3~mbps 7134.53
3~mbps 3018.88
3~mbps 2430.55
3~mbps 4280.55
3~mbps 242.6
3~mbps 6668.38
3~mbps 3588.35
3~mbps 10469
3~mbps 5002.23
3~mbps 5027.4
3~mbps 3072.32
3~mbps 3779.69
3~mbps 6480.1
3~mbps 7972.57
3~mbps 5079.23
3~mbps 3546.44
3~mbps 2757.94
3~mbps 7480.73
3~mbps 7769.02
3~mbps 2886.84
3~mbps 9888.02
3~mbps 8938.57
3~mbps 4420.91
3~mbps 3380.2
3~mbps 3298.42
3~mbps 118.42
3~mbps 5468.13
3~mbps 1437.76
3~mbps 3784.14
3~mbps 2651.79
3~mbps 1899.23
3~mbps 3123.18
3~mbps 6289.44
3~mbps 396.94
3~mbps 8906.88
3~mbps 778.68
3~mbps 5077.22
3~mbps 10947.3
3~mbps 8768.62
3~mbps 2915.85
3~mbps 3666.82
3~mbps 9795.47
3~mbps 4482.3
3~mbps 7149.92
3~mbps 492.89
3~mbps 6558.56
