user_id capacity sessions
1 3-mbps 14
2 3-mbps 1
3 3-mbps 3
4 3-mbps 2
5 3-mbps 1
6 3-mbps 83
7 3-mbps 125
8 3-mbps 49
9 3-mbps 7
10 3-mbps 113
11 3-mbps 37
12 3-mbps 18
13 3-mbps 196
14 3-mbps 44
15 3-mbps 85
16 3-mbps 136
17 3-mbps 24
18 3-mbps 24
19 3-mbps 5
20 3-mbps 1
21 3-mbps 9
22 3-mbps 7
23 3-mbps 5
24 3-mbps 4
25 3-mbps 1
26 3-mbps 5
27 3-mbps 93
28 3-mbps 50
29 3-mbps 119
30 3-mbps 84
31 3-mbps 14
32 3-mbps 14
33 3-mbps 10
34 3-mbps 1
35 3-mbps 53
36 3-mbps 1
37 3-mbps 413
38 3-mbps 102
39 3-mbps 1
40 3-mbps 1
41 3-mbps 184
42 3-mbps 1
43 3-mbps 73
44 3-mbps 5
45 3-mbps 1
46 3-mbps 1
47 3-mbps 16
48 3-mbps 32
49 3-mbps 11
50 3-mbps 57
51 6-mbps 2
52 6-mbps 36
53 6-mbps 51
54 6-mbps 57
55 6-mbps 33
56 6-mbps 6
57 6-mbps 16
58 6-mbps 40
59 6-mbps 293
60 6-mbps 138
61 6-mbps 105
62 6-mbps 3
63 6-mbps 123
64 6-mbps 36
65 6-mbps 45
66 6-mbps 1
67 6-mbps 351
68 6-mbps 14
69 6-mbps 30
70 6-mbps 70
71 6-mbps 156
72 6-mbps 35
73 6-mbps 21
74 6-mbps 263
75 6-mbps 9
76 6-mbps 58
77 6-mbps 157
78 6-mbps 17
79 6-mbps 10
80 6-mbps 13
81 6-mbps 13
82 6-mbps 23
83 6-mbps 2
84 6-mbps 2
85 6-mbps 1
86 6-mbps 24
87 6-mbps 1
88 6-mbps 109
89 6-mbps 108
90 6-mbps 104
91 6-mbps 5
92 6-mbps 16
93 6-mbps 108
94 6-mbps 15
95 6-mbps 69
96 6-mbps 16
97 6-mbps 52
98 6-mbps 11
99 6-mbps 1
100 6-mbps 71
101 6-mbps 92
102 6-mbps 96
103 6-mbps 21
104 6-mbps 127
105 6-mbps 36
106 6-mbps 2
107 6-mbps 1
108 6-mbps 5
109 6-mbps 42
110 6-mbps 2
111 6-mbps 128
112 6-mbps 23
113 6-mbps 2
114 6-mbps 18
115 6-mbps 5
116 6-mbps 1
117 6-mbps 2
118 6-mbps 2
119 6-mbps 10
120 6-mbps 9
121 6-mbps 37
122 6-mbps 6
123 6-mbps 94
124 6-mbps 50
125 6-mbps 1
126 6-mbps 29
127 6-mbps 44
128 6-mbps 2
129 6-mbps 1
130 6-mbps 187
131 6-mbps 87
132 6-mbps 146
133 6-mbps 49
134 6-mbps 3
135 6-mbps 11
136 6-mbps 96
137 6-mbps 3
138 6-mbps 40
139 6-mbps 5
140 6-mbps 375
141 6-mbps 3
142 6-mbps 77
143 6-mbps 2
144 6-mbps 35
145 6-mbps 2
146 6-mbps 6
147 6-mbps 1
148 6-mbps 8
149 6-mbps 5
150 6-mbps 225
151 6-mbps 3
152 6-mbps 15
153 6-mbps 50
154 6-mbps 59
155 6-mbps 165
156 6-mbps 2
157 6-mbps 53
158 6-mbps 69
159 6-mbps 25
160 6-mbps 2
161 6-mbps 72
162 6-mbps 1
163 6-mbps 47
164 6-mbps 40
165 6-mbps 41
166 6-mbps 11
167 6-mbps 5
168 6-mbps 23
169 6-mbps 5
